id,source,geography,climate_or_site,years_or_date,sample_or_coverage,measure_or_model,canonical_role,notes
health-canada-eer,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/dietary-reference-intakes/tables/equations-estimate-energy-requirement.html,Canada,Canadian reference equations,2023 page accessed 2026-08-08,reference equations,modelled,current canonical energy demand,Equations parameterize age sex height weight and physical activity; pregnancy and lactation increments are separate.
health-canada-cnf,https://open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,Canada,Canadian foods,2026 release,5993 foods,food-composition database,current canonical composition,Extracted nutrient rows are checked in separately; energy is from kJ per 100 g.
statcan-crops,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901,Ontario,provincial commercial agriculture,2020-2024,Ontario reported crop area,production and yield averages,measured benchmark,high-input comparison,Provincial averages are not treated as low-input central yields.
statcan-potatoes,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035801,Ontario,provincial commercial agriculture,2020-2024,Ontario reported potato area production and yield averages,measured benchmark,high-input comparison,Potato yields are a commercial benchmark and not a canonical low-input yield.
oco-organic-grains,https://data.organiccouncil.ca/portal/data/grains-and-oilseeds,Ontario and western Quebec,organic field farms,2008-2021,insurance-registered organic farms and conventional comparator,measured farm-history averages,low-input adjustment evidence,The report says coverage is incomplete and the organic series is not a statistical average of all Ontario farms.
oco-organic-yield-soybeans,https://datawrapper.dwcdn.net/7kVHu/13/dataset.csv,Ontario and western Quebec,organic field farms,2008-2021,annual series,measured farm-history averages,low-input adjustment evidence,Source data behind the Organic Council of Ontario soybean chart.
oco-organic-yield-winter-wheat,https://datawrapper.dwcdn.net/iT86l/11/dataset.csv,Ontario and western Quebec,organic field farms,2008-2021,annual series,measured farm-history averages,low-input adjustment evidence,Source data behind the Organic Council of Ontario winter-wheat chart.
oco-organic-costs,https://data.organiccouncil.ca/portal/data/cost-of-production-for-organic-field-crops,Ontario and western Quebec,organic rotation farms,2020,5 farms,scenario budget,low-input context,Includes manure rotation machinery and labour; OCO explicitly says it is not statistically reliable or an average.
omafra-vegetable-guide,https://www.ontario.ca/page/publication-839-guide-vegetable-production-ontario,Ontario,commercial vegetable farms,2024 guide,extension benchmark,measured/extension benchmark,high-input comparison,Snap-bean average yield cited by the guide is kept outside the central low-input dataset.
willow-long-term,https://doi.org/10.3390/f15112041,Eastern and northern United States,northern temperate short-rotation willow,1993-2019,19 cultivars and 8 rotations,26-year field trial,measured woody evidence,Used to set a cautious ordinary-site band; cultivar and site effects remain important.
willow-eastern-canada,https://pmc.ncbi.nlm.nih.gov/articles/PMC9861115/,Eastern Canada,wet clay landfill cell,2018-2020,48 sampled trees,2-year establishment trial,measured upper-bound woody evidence,Unfertilized treatment was a saturated landfill site and is not ordinary Grey County land.
wood-energy-canada,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2012-167/page-1.html,Canada,dry wood,regulatory default,not a field trial,default higher heating value,canonical energy conversion,19.0 GJ per dry tonne is used as a gross dry-basis conversion.
eccc-owen-sound-hdd,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?climate_id=6116132&coordsStn=44.745833%7C-81.107222%7COWEN+SOUND+MOE&optProxType=station&searchType=stnProx&txtCentralLatMin=0&txtCentralLatSec=0&txtCentralLongMin=0&txtCentralLongSec=0&txtRadius=25,Owen Sound Ontario,humid continental,1981-2010,station climate normal,measured climate normal,current heating input pending newer-normal verification,4031.9 degree-days below 18 C is retained with its vintage documented.
eccc-hdd-definition,https://climate.meteo.gc.ca/glossary_e.html,Canada,heating degree-day definition,current,reference definition,definition,canonical method,ECCC defines heating degree-days relative to 18 C.
